Vpp  mean  Vpp_err  mean_err
.100  66.8796  0.0  0.0350714
.150  100.349  0.0  0.0363583
.200  134.066  0.0  0.0338775
.250  169.045  0.0  0.0363587
.300  204.03  0.0  0.0358956
.350  238.322  0.0  0.0371732
.400  273.813  0.0  0.0388773
.450  307.862  0.0  0.0354765
.500  342.498  0.0  0.0394718
.550  377.031  0.0  0.0419236
.600  411.623  0.0  0.0385183
.650  446.912  0.0  0.0408448
.700  480.931  0.0  0.0417515
.750  515.707  0.0  0.0446988
.800  551.137  0.0  0.0453254
.900  619.227  0.0  0.0416285
1.000  682.089  0.0  0.0460404
1.100  740.078  0.0  0.0398883
1.200  793.704  0.0  0.0397776
1.300  846.111  0.0  0.0379183
1.400  890.107  0.0  0.0378738
1.500  939.13  0.0  0.0383871
1.600  987.745  0.0  0.0384264
1.700  1029.88  0.0  0.0389814
1.800  1078.28  0.0  0.0443482
1.900  1127.9  0.0  0.0448709
2.000  1171.21  0.0  0.0446694
2.100  1220.32  0.0  0.0492522
2.200  1265.75  0.0  0.0500142
2.300  1314.3  0.0  0.0459803
2.500  1405.57  0.0  0.0424683
2.700  1488.99  0.0  0.0345619
3.000  1561.4  0.0  0.0260376
3.200  1578.48  0.0  0.0205956
