Vpp  mean  Vpp_err  mean_err
.100  72.3085  0.0  0.0212406
.150  109.329  0.0  0.0223532
.200  146.695  0.0  0.0215654
.250  185.096  0.0  0.0223721
.300  223.534  0.0  0.0243093
.350  261.219  0.0  0.0237159
.400  300.534  0.0  0.0233329
.450  338.067  0.0  0.0229251
.500  376.558  0.0  0.0248526
.550  415.312  0.0  0.0244514
.600  452.957  0.0  0.0250604
.650  491.465  0.0  0.0264928
.700  529.509  0.0  0.0275315
.750  567.244  0.0  0.0290467
.800  606.305  0.0  0.028622
.900  679.876  0.0  0.0300008
1.000  747.831  0.0  0.0297511
1.100  810.107  0.0  0.0267611
1.200  866.473  0.0  0.0261388
1.300  922.134  0.0  0.0249678
1.400  968.875  0.0  0.0251441
1.500  1021.51  0.0  0.026693
1.600  1073.19  0.0  0.027799
1.700  1118.02  0.0  0.0280827
1.800  1168.43  0.0  0.0305834
1.900  1218.93  0.0  0.0323887
2.000  1262.76  0.0  0.0341923
2.100  1312.4  0.0  0.0349095
2.200  1357.43  0.0  0.0364096
2.300  1404.82  0.0  0.0365985
2.500  1489.74  0.0  0.0354655
2.700  1548.66  0.0  0.0351952
3.000  1572.66  0.0  0.0308061
3.200  1570.4  0.0  0.0290945
