Vpp  mean  Vpp_err  mean_err
.100  69.1647  0.0  0.0256707
.150  105.693  0.0  0.0282107
.200  142.502  0.0  0.0274138
.250  180.604  0.0  0.0283258
.300  218.22  0.0  0.0290513
.350  255.396  0.0  0.027813
.400  294.252  0.0  0.0287555
.450  331.299  0.0  0.0309977
.500  368.897  0.0  0.0288687
.550  407.018  0.0  0.028589
.600  444.37  0.0  0.0306109
.650  482.428  0.0  0.0312347
.700  520.009  0.0  0.0310118
.750  557.086  0.0  0.0352625
.800  595.473  0.0  0.0346715
.900  667.643  0.0  0.0321322
1.000  733.992  0.0  0.0287518
1.100  793.92  0.0  0.0270725
1.200  848.609  0.0  0.027279
1.300  903.593  0.0  0.0246777
1.400  949.916  0.0  0.0243159
1.500  1002.2  0.0  0.0269847
1.600  1053.74  0.0  0.030308
1.700  1099.54  0.0  0.0313102
1.800  1151.72  0.0  0.0307831
1.900  1204.38  0.0  0.0347412
2.000  1250.07  0.0  0.0355162
2.100  1301.87  0.0  0.0392
2.200  1349.57  0.0  0.0400078
2.300  1399.46  0.0  0.0395343
2.500  1490.15  0.0  0.0400635
2.700  1558.53  0.0  0.036852
3.000  1590.09  0.0  0.0344436
3.200  1589.76  0.0  0.0288766
