Vpp  mean  Vpp_err  mean_err
.100  69.4406  0.0  0.023331
.150  105.673  0.0  0.0237277
.200  142.246  0.0  0.023241
.250  180.069  0.0  0.0239548
.300  217.707  0.0  0.0249501
.350  255.121  0.0  0.0256236
.400  293.565  0.0  0.0243459
.450  330.422  0.0  0.0243967
.500  367.95  0.0  0.0239571
.550  405.368  0.0  0.025214
.600  442.588  0.0  0.0262199
.650  480.589  0.0  0.026849
.700  517.64  0.0  0.0277783
.750  554.857  0.0  0.0282228
.800  592.545  0.0  0.029537
.900  664.635  0.0  0.0314046
1.000  731.398  0.0  0.0295122
1.100  791.65  0.0  0.0268695
1.200  847.51  0.0  0.025717
1.300  902.29  0.0  0.0253731
1.400  948.663  0.0  0.0259128
1.500  1000.75  0.0  0.0270333
1.600  1052.09  0.0  0.0273974
1.700  1096.85  0.0  0.0295072
1.800  1148.09  0.0  0.0315558
1.900  1199.72  0.0  0.0330496
2.000  1244.74  0.0  0.0339014
2.100  1296.09  0.0  0.0358751
2.200  1342.53  0.0  0.0376807
2.300  1391.84  0.0  0.0379603
2.500  1483.62  0.0  0.0360778
2.700  1556.37  0.0  0.0350359
3.000  1600.26  0.0  0.0311906
3.200  1602.61  0.0  0.0252897
