Vpp  mean  Vpp_err  mean_err
.100  71.5297  0.0  0.0327102
.150  107.358  0.0  0.0311631
.200  142.997  0.0  0.0351225
.250  179.976  0.0  0.0351173
.300  217.236  0.0  0.0364751
.350  253.552  0.0  0.0320299
.400  291.458  0.0  0.0325332
.450  327.249  0.0  0.03747
.500  364.177  0.0  0.034817
.550  401.523  0.0  0.0392241
.600  437.999  0.0  0.0361933
.650  474.336  0.0  0.0399225
.700  511.525  0.0  0.0394717
.750  547.399  0.0  0.0380988
.800  584.775  0.0  0.0417592
.900  655.1  0.0  0.0431398
1.000  720.824  0.0  0.0352976
1.100  779.579  0.0  0.0325636
1.200  833.869  0.0  0.0314374
1.300  886.66  0.0  0.0303169
1.400  931.824  0.0  0.0322971
1.500  983.287  0.0  0.032952
1.600  1032.71  0.0  0.034534
1.700  1076.97  0.0  0.0352502
1.800  1127.86  0.0  0.0373199
1.900  1179.28  0.0  0.0402487
2.000  1224.31  0.0  0.0415215
2.100  1275.28  0.0  0.0416385
2.200  1321.53  0.0  0.0453531
2.300  1372.5  0.0  0.0393517
2.500  1464.81  0.0  0.0401948
2.700  1543.72  0.0  0.0359995
3.000  1594.96  0.0  0.0327938
3.200  1599.91  0.0  0.0329693
