Vpp  mean  Vpp_err  mean_err
.100  69.7355  0.0  0.0382421
.150  103.363  0.0  0.0449476
.200  138.558  0.0  0.0368818
.250  174.388  0.0  0.0491595
.300  209.843  0.0  0.0418239
.350  245.389  0.0  0.0476404
.400  281.474  0.0  0.0509998
.450  317.095  0.0  0.0491721
.500  351.859  0.0  0.0437517
.550  387.797  0.0  0.0497323
.600  422.686  0.0  0.0462634
.650  458.02  0.0  0.051499
.700  492.803  0.0  0.0464012
.750  527.789  0.0  0.0613827
.800  564.3  0.0  0.0566572
.900  632.942  0.0  0.0521071
1.000  695.09  0.0  0.0535606
1.100  753.006  0.0  0.0509886
1.200  805.386  0.0  0.0524761
1.300  860.444  0.0  0.03887
1.400  905.875  0.0  0.0388915
1.500  956.147  0.0  0.0400104
1.600  1006.58  0.0  0.0417604
1.700  1050.04  0.0  0.0443192
1.800  1100.76  0.0  0.0492783
1.900  1151.56  0.0  0.0518919
2.000  1195.55  0.0  0.0556353
2.100  1246.53  0.0  0.0513006
2.200  1292.92  0.0  0.0528788
2.300  1343.51  0.0  0.0479518
2.500  1436.94  0.0  0.0446181
2.700  1520.24  0.0  0.0427501
3.000  1592.77  0.0  0.024893
3.200  1608.71  0.0  0.0194319
