Vpp  mean  Vpp_err  mean_err
.100  71.5742  0.0  0.0157378
.150  108.245  0.0  0.0161516
.200  145.401  0.0  0.0153654
.250  183.447  0.0  0.0169627
.300  221.3  0.0  0.0164201
.350  258.322  0.0  0.0166009
.400  297.096  0.0  0.0168848
.450  333.844  0.0  0.017176
.500  371.392  0.0  0.018297
.550  408.793  0.0  0.0181829
.600  445.531  0.0  0.0189994
.650  483.217  0.0  0.0202146
.700  520.661  0.0  0.0206881
.750  557.468  0.0  0.0210832
.800  595.232  0.0  0.0214771
.900  665.774  0.0  0.0214702
1.000  729.881  0.0  0.0193348
1.100  788.137  0.0  0.0188788
1.200  841.841  0.0  0.0191703
1.300  896.097  0.0  0.0185375
1.400  942.189  0.0  0.0182039
1.500  994.063  0.0  0.0194648
1.600  1045  0.0  0.0205209
1.700  1089.82  0.0  0.0205118
1.800  1140.82  0.0  0.0235921
1.900  1192.62  0.0  0.0252871
2.000  1236.89  0.0  0.0263794
2.100  1287.23  0.0  0.0271843
2.200  1333  0.0  0.0275646
2.300  1380.99  0.0  0.0282672
2.500  1469.61  0.0  0.0259409
2.700  1543.43  0.0  0.0324089
3.000  1577.99  0.0  0.0256162
3.200  1579.02  0.0  0.0222049
