Vpp  mean  Vpp_err  mean_err
.100  69.6873  0.0  0.0483423
.150  103.965  0.0  0.0520875
.200  138.342  0.0  0.0410621
.250  174.369  0.0  0.0501304
.300  209.946  0.0  0.0471114
.350  245.38  0.0  0.040213
.400  281.701  0.0  0.0426121
.450  318.533  0.0  0.0818668
.500  352.981  0.0  0.0410187
.550  388.93  0.0  0.0585325
.600  424.005  0.0  0.0455726
.650  459.239  0.0  0.0346182
.700  494.228  0.0  0.0397572
.750  525.861  0.0  0.0425194
.800  561.738  0.0  0.0344608
.900  628.044  0.0  0.0409277
1.000  689.91  0.0  0.0364452
1.100  744.712  0.0  0.0314271
1.200  795.051  0.0  0.0283038
1.300  844.476  0.0  0.0305868
1.400  889.576  0.0  0.0291436
1.500  937.071  0.0  0.0341159
1.600  987.526  0.0  0.0312655
1.700  1033.55  0.0  0.0346548
1.800  1083.89  0.0  0.0477925
1.900  1135.66  0.0  0.0403007
2.000  1179.61  0.0  0.048256
2.100  1232.8  0.0  0.044992
2.200  1280.42  0.0  0.045038
2.300  1330.03  0.0  0.0420219
2.500  1422.86  0.0  0.0382715
2.700  1499.81  0.0  0.0292924
3.000  1546.69  0.0  0.0246971
3.200  1548.84  0.0  0.023453
