sector  pad  layer noise_in_MeV
3  62  0  0.016336732277410077
3  63  0  0.013655999895223751
-1  63  0  0.03402784157325551
-1  63  0  0.0323918252103582
0  62  0  0.01662923729916889
0  63  0  0.015133335925907682
0  60  0  0.016084362275196783
0  61  0  0.01324025271408717
0  58  0  0.014581055933020951
0  59  0  0.011486339909203662
0  56  0  0.013897346052751492
0  57  0  0.014688479925106404
0  54  0  0.012806639217998857
0  55  0  0.013746481238537287
0  52  0  0.013127418357508544
0  53  0  0.012451473929348622
0  50  0  0.012404960169783078
0  51  0  0.01291327783459337
0  48  0  0.013802950359650077
0  49  0  0.01386393435097933
0  46  0  0.011630861465815077
0  47  0  0.014029566509907518
0  44  0  0.012806754531066975
0  45  0  0.013285990447869992
0  42  0  0.01147387467042609
0  43  0  0.011118743664039343
0  40  0  0.011924659425098827
0  41  0  0.011428964905249467
0  38  0  0.012021803932418541
0  39  0  0.011547127556660177
0  36  0  0.010306826429155548
0  37  0  0.010497678906593866
0  34  0  0.010927509926276713
0  35  0  0.011703910736181137
0  32  0  0.01121488983029187
0  33  0  0.013955455528229625
0  30  0  0.009988870901529973
0  31  0  0.011272676221407991
0  28  0  0.010009628292647118
0  29  0  0.009808116108975227
0  26  0  0.009919217652962718
0  27  0  0.010235241946411485
0  24  0  0.009345275424973907
0  25  0  0.010493932790164839
0  22  0  0.009317852730748432
0  23  0  0.010265683557537342
0  20  0  0.008869070891348906
0  21  0  0.010331284227017063
0  18  0  0.009787255871067596
0  19  0  0.010998725614974104
0  16  0  0.009027915162105361
0  17  0  0.009858565056847237
0  14  0  0.007489033180131392
0  15  0  0.009696941845034866
0  12  0  0.008398970678338702
0  13  0  0.009184150864266896
0  10  0  0.008942156521691398
0  11  0  0.008422345468330759
0  8  0  0.009415116706562142
0  9  0  0.008261691509604426
0  6  0  0.006883453097792096
0  7  0  0.007553478121788791
0  4  0  0.007830678790687521
0  5  0  0.006236335897804412
0  2  0  0.00700546211528114
0  3  0  0.006541095351126121
0  0  0  0.006206151403654762
0  1  0  0.009884013923780658
1  1  0  0.005510531033962448
1  0  0  0.011836399218306298
1  3  0  0.006249939723272562
1  2  0  0.005405862089234116
1  5  0  0.00784144861570686
1  4  0  0.008881497692437101
1  7  0  0.006617590508401527
1  6  0  0.009455948960095972
1  9  0  0.00807441841213178
1  8  0  0.008506029512375123
1  11  0  0.007841505233384444
1  10  0  0.0076927955269162325
1  13  0  0.006732418949973367
1  12  0  0.00862123713655833
1  15  0  0.008011444491235196
1  14  0  0.007992688457106555
1  17  0  0.009675179879711707
1  16  0  0.007801103585857233
1  19  0  0.009342139117292475
1  18  0  0.008581711764463141
1  21  0  0.008315571800395216
1  20  0  0.00906245402314693
1  23  0  0.009701542940338294
1  22  0  0.010084791635928618
1  25  0  0.008989870160479215
1  24  0  0.008489532991067649
1  27  0  0.010445732966549296
1  26  0  0.01095157088096688
1  29  0  0.010801167319025138
1  28  0  0.006994489193822009
1  31  0  0.010759925756042331
1  30  0  0.010740341233879252
1  33  0  0.011828360546945284
1  32  0  0.009268833249378453
1  35  0  0.012866999895446407
1  34  0  0.010504835588812279
1  37  0  0.011717500017658705
1  36  0  0.011193023979321762
1  39  0  0.012556358956222603
1  38  0  0.010460578225498495
1  41  0  0.013437752834073842
1  40  0  0.01007631664485041
1  43  0  0.013068386377485489
1  42  0  0.010791839426785473
1  45  0  0.012462880573383765
1  44  0  0.010995129093876684
1  47  0  0.012628647783652986
1  46  0  0.012395359058291934
1  49  0  0.012941646927062561
1  48  0  0.012362910376467
1  51  0  0.015510555098549008
1  50  0  0.014798795054746485
1  53  0  0.01401576114628429
1  52  0  0.014394527176208706
1  55  0  0.013957039784345612
1  54  0  0.01510831610669616
1  57  0  0.014913415205596187
1  56  0  0.01626238487523674
1  59  0  0.014527764673848375
1  58  0  0.017517908366588997
1  61  0  0.015523722604299963
1  60  0  0.01868412863925335
1  63  0  0.015246064319126415
2  62  1  0.02859632642803459
2  61  1  0.011628226882560074
2  60  1  0.01213528994828915
2  59  1  0.009165005533614282
2  58  1  0.011736967657546888
2  57  1  0.011876719930028787
2  56  1  0.011516102773908386
2  55  1  0.009713928673626911
2  54  1  0.009672783337559191
2  53  1  0.009951412717303942
2  52  1  0.00975853336660357
2  51  1  0.011246918234673954
2  50  1  0.009924846484457713
2  49  1  0.009729027967392426
2  48  1  0.011890683065390912
2  47  1  0.009038528595648623
2  46  1  0.009861543665091134
2  45  1  0.010017534382783027
2  44  1  0.009211153438584571
2  43  1  0.01075904894294175
2  42  1  0.01142245410938843
2  41  1  0.009914141573642276
2  40  1  0.011368268093227081
2  39  1  0.009731366729711716
2  38  1  0.009921328463943125
2  37  1  0.009089439626233103
2  36  1  0.010162644797450746
2  35  1  0.008284694079694318
2  34  1  0.010448649030477734
2  33  1  0.009085886287833484
2  32  1  0.009439403351845062
2  31  1  0.010533474209820731
2  30  1  0.00699911707827716
2  29  1  0.008810670770772862
2  28  1  0.01073947924298211
2  27  1  0.00780679101623289
2  26  1  0.009453646635854601
2  25  1  0.008828320734167889
2  24  1  0.008591689108597507
2  23  1  0.008373132458259028
2  22  1  0.008766154073204692
2  21  1  0.008510954219228333
2  20  1  0.008201139745604418
2  19  1  0.007749237230220413
2  18  1  0.009723692572318999
2  17  1  0.008302268618453495
2  16  1  0.010073855634468545
2  15  1  0.009587258385205888
2  14  1  0.009150929859906615
2  13  1  0.008601756501657622
2  12  1  0.007835461356975795
2  11  1  0.008244727403213659
2  10  1  0.008810520520109402
2  9  1  0.008187307705442681
2  8  1  0.007935970670316182
2  7  1  0.009042721247628236
2  6  1  0.009387872761751896
2  5  1  0.007604461437548212
2  4  1  0.009163871171035558
2  3  1  0.009161423462020053
2  2  1  0.00869677478178714
2  1  1  0.008059626966344671
2  0  1  0.005510143179717358
3  0  1  0.006856538177775886
3  1  1  0.007107290372670506
3  2  1  0.00703632656529207
3  3  1  0.009397245769275695
3  4  1  0.008014045344751404
3  5  1  0.0067065832267759334
3  6  1  0.008250805671089292
3  7  1  0.00794818347524022
3  8  1  0.008956036192542711
3  9  1  0.008213993659933102
3  10  1  0.007570641868888604
3  11  1  0.006966993965315752
3  12  1  0.006825602104916642
3  13  1  0.007784929844003405
3  14  1  0.007759480614097489
3  15  1  0.01034337659152316
3  16  1  0.008917300254564354
3  17  1  0.008712408034085743
3  18  1  0.008362969886491779
3  19  1  0.009265379561496733
3  20  1  0.008689557961075237
3  21  1  0.010581391600692184
3  22  1  0.00913414488539088
3  23  1  0.008533257762933103
3  24  1  0.008652513689929314
3  25  1  0.010719148113365403
3  26  1  0.009985642931203133
3  27  1  0.006621210919518977
3  28  1  0.008826779317998914
3  29  1  0.012758079546943659
3  30  1  0.010479140936037024
